path,value
121220,6.0
121221,8.0
121222,8.0
122000,6.0
122001,7.0
122002,6.0
122010,7.0
122011,8.0
122012,7.0
122020,7.0
122021,8.0
122022,7.0
122100,8.0
122101,9.0
122102,9.0
122110,9.0
122111,10.0
122112,10.0
122120,8.0
122121,9.0
122122,9.0
122200,7.0
122201,8.0
122202,9.0
122210,7.0
122211,8.0
122212,9.0
122220,7.0
122221,8.0
122222,9.0
200000,6.0
200001,8.0
200002,5.0
200010,7.0
200011,9.0
200012,6.0
200020,6.0
200021,8.0
200022,5.0
200100,6.0
200101,8.0
200102,6.0
200110,7.0
200111,9.0
200112,7.0
200120,5.0
200121,7.0
200122,5.0
200200,5.0
200201,7.0
200202,6.0
200210,5.0
200211,7.0
200212,6.0
200220,4.0
200221,6.0
200222,5.0
201000,8.0
201001,9.0
201002,7.0
201010,9.0
201011,10.0
201012,8.0
201020,8.0
201021,9.0
201022,7.0
201100,8.0
201101,9.0
201102,8.0
201110,9.0
201111,10.0
201112,9.0
201120,7.0
201121,8.0
201122,7.0
201200,7.0
201201,8.0
201202,8.0
201210,7.0
201211,8.0
201212,8.0
201220,6.0
201221,7.0
201222,7.0
202000,9.0
202001,9.0
202002,8.0
202010,10.0
202011,10.0
202012,9.0
202020,9.0
202021,9.0
202022,8.0
202100,9.0
202101,9.0
202102,9.0
202110,10.0
202111,10.0
202112,10.0
202120,8.0
202121,8.0
202122,8.0
202200,8.0
202201,8.0
202202,9.0
202210,8.0
202211,8.0
202212,9.0
202220,7.0
202221,7.0
202222,8.0
210000,5.0
210001,8.0
210002,6.0
210010,6.0
210011,9.0
210012,7.0
210020,6.0
210021,9.0
210022,7.0
210100,6.0
210101,9.0
210102,8.0
210110,7.0
210111,10.0
210112,9.0
210120,6.0
210121,9.0
210122,8.0
210200,5.0
210201,8.0
210202,8.0
210210,5.0
210211,8.0
210212,8.0
210220,5.0
210221,8.0
210222,8.0
211000,6.0
211001,8.0
211002,7.0
211010,7.0
211011,9.0
211012,8.0
211020,7.0
211021,9.0
211022,8.0
211100,7.0
211101,9.0
211102,9.0
211110,8.0
211111,10.0
211112,10.0
211120,7.0
211121,9.0
211122,9.0
211200,6.0
211201,8.0
211202,9.0
211210,6.0
211211,8.0
211212,9.0
211220,6.0
211221,8.0
211222,9.0
212000,7.0
212001,8.0
212002,8.0
212010,8.0
212011,9.0
212012,9.0
212020,8.0
212021,9.0
212022,9.0
212100,8.0
212101,9.0
212102,10.0
212110,9.0
212111,10.0
212112,11.0
212120,8.0
212121,9.0
212122,10.0
212200,7.0
212201,8.0
212202,10.0
212210,7.0
212211,8.0
212212,10.0
212220,7.0
212221,8.0
212222,10.0
220000,7.0
220001,10.0
220002,8.0
220010,7.0
220011,10.0
220012,8.0
220020,7.0
220021,10.0
220022,8.0
220100,8.0
220101,11.0
220102,10.0
220110,8.0
220111,11.0
220112,10.0
220120,7.0
220121,10.0
220122,9.0
220200,6.0
220201,9.0
220202,9.0
220210,5.0
220211,8.0
220212,8.0
220220,5.0
220221,8.0
220222,8.0
221000,9.0
221001,11.0
221002,10.0
221010,9.0
221011,11.0
221012,10.0
221020,9.0
221021,11.0
221022,10.0
221100,10.0
221101,12.0
221102,12.0
221110,10.0
221111,12.0
221112,12.0
221120,9.0
221121,11.0
221122,11.0
221200,8.0
221201,10.0
221202,11.0
221210,7.0
221211,9.0
221212,10.0
221220,7.0
221221,9.0
221222,10.0
222000,9.0
222001,10.0
222002,10.0
222010,9.0
222011,10.0
222012,10.0
222020,9.0
222021,10.0
222022,10.0
222100,10.0
222101,11.0
222102,12.0
222110,10.0
222111,11.0
222112,12.0
222120,9.0
222121,10.0
222122,11.0
222200,8.0
222201,9.0
222202,11.0
222210,7.0
222211,8.0
222212,10.0
222220,7.0
222221,8.0
222222,10.0
